Family Name,Algorithm Name,Year,Time Complexity Class,average_monthly_reads,years_since_problem_introduced,years_since_last_improvement,Number of Authors
Transitive Reduction Problem,"Aho, Garey & Ullman",1972,5.807,1244.4845360824745,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",1978,5.8,0.0,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",1979,5.78,0.0,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",1980,5.52,0.0,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",1980,5.518,0.0,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",1981,5.495,1244.4845360824745,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",1986,5.48,0.0,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",1990,5.372,0.0,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",2014,5.373,0.0,51,9,3
Transitive Reduction Problem,"Aho, Garey & Ullman",2014,5.371,0.0,51,9,3
Transitive Reduction Problem,"Gries, Martin",1989,6,0.0,51,9,4
n-Queens Problem,Dijkstra,1972,8,0.0,175,5,3
n-Queens Problem,"Rivin, Zabih",1992,8,0.0,175,5,2
Tower of Hanoi,Hanoi graph,2008,8,30621.20618556701,140,140,3
Block Ciphers,RC5,1994,3,2064.546391752577,47,47,1
Block Ciphers,Rijndael / AES,2001,3,10258.061855670105,47,47,2
Block Ciphers,Blowfish,1993,3,10870.443298969072,47,47,1
Polynomial Interpolation,Bjorck,1970,5,0.0,53,53,2
Polynomial Interpolation,Higham,1988,5,0.0,53,53,1
Polynomial Interpolation,"Calvetti, Reichel",1993,5,1938.59793814433,53,53,2
Greatest Common Divisor,Binary GCD algorithm,1967,5,2202.4123711340208,83,17,1
Greatest Common Divisor,"Sthele, Zimmermann",2006,4.011,2202.4123711340208,83,17,2
Deadlock avoidance,Banker's Algorithm,1966,5,6123.79381443299,57,57,1
Page Replacements,Longest distance first (LDF) page replacement algorithm,2017,3,10101.577319587628,83,83,2
Recovery,ARIES,1992,3,1404.0721649484535,31,31,5
