Family Name,Algorithm Name,Year,Time Complexity Class,average_monthly_reads,years_since_problem_introduced,years_since_last_improvement,Number of Authors
Line segment intersection,Bentley–Ottmann algorithm,1979,4,1610.8969072164948,83,34,2
Convex Hull,Jarvis,1973,3,2274.0721649484535,88,35,1
Minimum Spanning Tree (MST),Kruskal’s algorithm with demand-sorting,1991,5.01,0.0,97,66,2
Minimum Spanning Tree (MST),Quick Kruskal algorithm,2006,5.01,0.0,97,66,2
Minimum Spanning Tree (MST),Karger; Klein & Tarjan,1995,5,22169.01030927835,97,66,3
LU Decomposition,Okunev; Johnson,1997,6,18572.23711340206,145,48,2
Informed Search,A* Algorithm,1968,8,62913.67010309279,64,64,3
Informed Search,Bidirectional A* Algorithm,2007,8,1669.340206185567,64,64,4
Informed Search,Fringe Saving A* (FSA*),2008,8,62913.67010309279,64,64,3
Informed Search,Generalized Adaptive A* (GAA*),2008,8,62913.67010309279,64,64,3
Informed Search,Iterative Deepening A* (IDA*),1985,8,2572.2061855670104,64,64,1
Informed Search,Jump Point Search (JPS),2011,8,1056.0721649484535,64,64,2
Informed Search,Lifelong Planning A* (LPA*),2001,8,484.046875,64,64,2
Informed Search,Simplified Memory-Bounded A* (SMA*),1992,8,790.659793814433,64,64,1
Informed Search,Theta*,2010,8,444.6185567010309,64,64,4
Informed Search,Anytime Repairing A* (ARA*),2005,8,330.8875,64,64,3
Informed Search,Time-Bounded A* (TBA*),2009,8,0.0,64,64,3
String Search,Knuth-Morris-Pratt (KMP) algorithm,1977,3,11982.659793814431,83,48,3
String Search,Boyer-Moore (BM) algorithm,1977,5,4814.5161290322585,83,48,2
String Search,Rabin-Karp (RK) algorithm,1987,5,5736.061855670103,83,48,2
Sequence Alignment,Needleman–Wunsch algorithm,1970,5,6119.030927835051,53,43,2
Sequence Alignment,Smith–Waterman algorithm,1981,6,5500.762886597938,53,43,2
Sequence Alignment,Masek; Patterson,1980,4.99,0.0,53,43,2
Sequence Alignment,Hirschberg's algorithm,1975,5,1332.1958762886595,53,43,1
Sequence Alignment,FASTA,1985,5,3718.1546391752577,53,43,2
Sequence Alignment,Gotoh,1982,5,12357.701030927836,53,43,1
Sequence Alignment,Altschul and Erickson,1986,5,5500.762886597938,53,43,2
Sequence Alignment,Myers and Miller,1988,5,5500.762886597938,53,43,2
Sequence Alignment,David Sankoff,1972,5,6119.030927835051,53,43,1
Line Clipping,Cohen–Sutherland,1967,3,3605.0515463917527,56,56,2
Line Clipping,Liang–Barsky,1984,3,1019.2474226804125,56,56,2
Line Clipping,Cyrus–Beck,1978,3,838.7835051546392,56,56,2
Line Clipping,Nicholl–Lee–Nicholl,1987,3,255.0675675675676,56,56,3
Line Clipping,Fast clipping,1987,3,1719.2371134020618,56,56,3
NFA to DFA conversion,Rabin–Scott powerset construction,1959,8,1636.4639175257732,64,64,2
Multiplication,Karatsuba Algorithm,1962,4.58,8786.886597938144,83,4,2
Multiplication,Toom-3,1969,4.46,1693.4536082474226,83,4,2
Line Simplification,Ramer–Douglas–Peucker algorithm,1972,5,5473.577319587629,54,54,1
Line Simplification,Visvalingam–Whyatt,1993,5,544.974358974359,54,54,2
Line Simplification,Opheim simplification,1981,3,5473.577319587629,54,54,1
Line Simplification,Zhao-Saalfeld,1997,3,5473.577319587629,54,54,2
Nearest Neighbor Search,k-d Tree,1975,4,0.875,83,83,3
Nearest Neighbor Search,R-tree,1984,4,8517.257731958764,83,83,1
The Subset-Sum Problem,Horowitz and Sahni,1974,8,11461.01030927835,83,67,2
The Subset-Sum Problem,Bellman dynamic programming algorithm,1956,3,36779.24742268041,83,67,1
The Subset-Sum Problem,Psinger,1999,3,11461.01030927835,83,67,1
